room_type_num,longitude,latitude,availability_365,minimum_nights,number_of_reviews,neigh_num,price
0,-73.95745,40.71323,15,5,37,212,6.1092475827643655
1,-73.89474,40.69775,0,2,2,84,4.23410650459726
1,-73.93656,40.70314,18,2,3,212,4.499809670330265
0,-74.08267,40.64497,131,4,19,184,4.574710978503383
1,-73.96127,40.65272,298,3,28,74,4.174387269895637
1,-73.93245,40.8556,2,4,67,204,3.5553480614894135
0,-73.98216,40.6009,42,7,0,89,4.605170185988092
0,-73.94603,40.80407,0,3,12,94,4.382026634673881
0,-73.93094,40.69174,10,4,1,13,4.787491742782046
0,-73.94927,40.70885,0,5,0,212,5.298317366548036
0,-73.97933,40.78456,0,4,2,200,5.0106352940962555
1,-73.95835,40.58996,97,5,3,173,4.07753744390572
0,-73.95399,40.80815,55,3,20,94,4.787491742782046
1,-73.91217,40.68918,0,1,11,28,4.0943445622221
1,-73.96856,40.79576,333,2,21,200,5.0106352940962555
0,-73.9741,40.7604,268,2,20,126,7.003065458786462
0,-73.95579,40.71756,297,8,23,212,5.10594547390058
1,-73.97097,40.79421,0,3,1,200,4.48863636973214
1,-73.94397,40.76873,0,1,2,167,3.9318256327243257
0,-73.91582,40.70268,0,3,4,28,4.343805421853684
0,-73.95795,40.71826,32,30,11,212,4.553876891600541
1,-73.99115,40.66889,221,1,3,85,4.553876891600541
1,-73.95992,40.71446,0,1,4,212,3.912023005428146
1,-73.82737,40.6873,48,1,9,163,4.418840607796598
1,-73.94148,40.82882,0,7,1,94,3.8918202981106265
0,-73.92477,40.76132,0,2,68,4,4.59511985013459
1,-73.96916,40.80272,188,5,3,200,4.382026634673881
2,-73.98562,40.70983,0,60,0,118,5.517452896464707
0,-73.95101,40.80833,96,3,89,94,5.616771097666572
0,-73.98773,40.72169,52,30,21,118,4.59511985013459
0,-73.95343,40.68417,191,30,1,13,4.882801922586371
0,-74.00444,40.74393,0,3,2,34,5.247024072160486
1,-73.97836,40.74936,32,1,25,136,5.030437921392435
1,-73.91665,40.70387,144,30,4,28,3.8501476017100584
1,-73.953,40.6751,223,2,9,51,4.2626798770413155
0,-73.98741,40.74754,0,5,2,126,5.662960480135946
0,-73.98861,40.72464,0,4,7,64,5.41610040220442
1,-73.94491,40.80225,0,1,0,61,4.248495242049359
1,-73.9402,40.83431,0,2,2,204,4.248495242049359
1,-73.90831,40.69288,0,2,54,28,4.23410650459726
0,-73.95354,40.61693,57,1,0,127,5.19295685089021
1,-73.96037,40.71279,226,2,262,212,4.499809670330265
0,-73.94362,40.72267,343,30,9,91,5.003946305945459
1,-73.93646,40.79588,0,1,0,61,4.382026634673881
1,-73.97834,40.68203,0,4,0,150,4.31748811353631
0,-74.01054,40.71612,363,2,1,195,6.214608098422191
1,-73.937,40.84098,354,30,11,204,3.970291913552122
1,-73.96246,40.65114,0,2,2,74,4.0943445622221
0,-73.95862,40.81535,0,31,15,129,5.0106352940962555
1,-73.9434,40.82624,0,3,58,94,4.007333185232471
0,-73.95115,40.80514,247,2,98,94,4.8283137373023015
1,-73.82004,40.75717,20,2,128,77,3.6109179126442243
0,-73.97506,40.68702,251,2,136,80,5.1298987149230735
1,-73.93937,40.81961,324,6,6,94,3.7612001156935624
0,-73.99225,40.76247,203,21,2,95,5.0106352940962555
0,-73.98458,40.67947,110,31,114,85,4.6913478822291435
1,-73.95823,40.69217,0,1,1,13,4.382026634673881
0,-73.97228,40.78948,338,30,0,200,5.66988092298052
0,-73.96175,40.80173,285,2,40,200,5.926926025970411
0,-73.9857,40.72548,0,2,72,64,4.890349128221754
0,-73.96312,40.75424,364,30,0,126,5.298317366548036
1,-73.95164,40.73347,0,3,2,91,4.382026634673881
0,-73.94481,40.79983,0,2,0,61,5.703782474656201
1,-73.98184,40.74049,253,30,0,111,4.04305126783455
0,-73.96191,40.71416,46,2,38,212,5.517452896464707
1,-73.95223,40.68245,48,1,3,13,4.48863636973214
0,-73.97533,40.74271,184,29,0,111,5.342334251964811
1,-73.94342,40.79636,271,5,62,61,4.48863636973214
1,-73.99406,40.71298,0,3,0,196,4.31748811353631
0,-73.97822,40.72625,0,2,2,64,5.521460917862246
0,-73.98098,40.74302,0,5,3,111,5.616771097666572
1,-73.87381,40.74038,0,1,24,68,3.4011973816621555
1,-73.93434,40.66319,365,1,0,60,4.59511985013459
0,-73.945,40.79099,364,1,0,61,5.991464547107982
0,-74.02884,40.6336,335,30,0,7,7.495541943884256
0,-73.90101,40.82519,88,1,0,117,5.0106352940962555
1,-73.92038,40.735,251,30,2,187,3.5263605246161616
0,-74.00314,40.73268,364,1,2,207,6.684611727667927
2,-73.91243,40.67668,89,1,5,13,3.332204510175204
0,-73.94096,40.67442,343,4,7,51,5.68697535633982
0,-73.94524,40.81251,0,1,2,94,4.553876891600541
0,-73.77111,40.76324,42,2,45,11,5.298317366548036
1,-73.97589,40.68629,167,5,6,80,4.31748811353631
0,-73.98126,40.74566,0,3,2,126,5.5134287461649825
1,-73.93207,40.69703,340,2,53,28,4.31748811353631
1,-73.92865,40.80797,49,3,5,154,4.553876891600541
1,-73.87756,40.756,355,1,1,103,4.343805421853684
0,-74.00303,40.73564,172,1,158,207,5.703782474656201
0,-74.00662,40.70399,227,2,13,73,5.517452896464707
0,-73.98727,40.76649,81,3,10,95,6.192362489474872
0,-73.94999,40.78697,0,2,12,61,4.859812404361672
1,-73.97039,40.68495,87,2,1,80,4.8283137373023015
0,-73.94371,40.69627,262,5,9,13,4.605170185988092
1,-73.95367,40.64361,324,2,53,74,4.454347296253507
0,-73.92423,40.69605,305,1,8,28,4.48863636973214
0,-73.97222,40.7445,324,29,0,136,5.135798437050262
0,-73.93648,40.6804,78,3,91,13,4.8283137373023015
0,-73.91563,40.74375,0,2,0,187,4.770684624465665
1,-73.94689,40.79712,71,25,0,61,3.912023005428146
1,-73.96216,40.71483,292,1,124,212,4.787491742782046
0,-73.96595,40.75414,238,1,8,126,4.700480365792417
0,-74.00161,40.72565,0,2,4,176,5.68697535633982
1,-73.92132,40.69961,0,4,0,28,3.912023005428146
0,-73.93985,40.68459,113,2,127,13,4.653960350157523
0,-73.98801,40.74032,161,3,4,75,5.703782474656201
0,-73.9558,40.71303,170,2,28,212,4.6913478822291435
0,-73.94751,40.78345,29,3,0,199,5.298317366548036
0,-73.92129,40.75782,262,30,24,4,4.672828834461906
1,-73.81287,40.75997,171,4,14,77,3.871201010907891
0,-73.99955,40.71794,0,4,30,114,5.272999558563747
1,-73.95487,40.6781,0,1,3,51,5.0106352940962555
1,-73.86541,40.72718,120,1,3,162,4.007333185232471
0,-73.98407,40.77725,334,30,0,200,5.521460917862246
1,-73.98651,40.76601,21,1,70,95,4.499809670330265
1,-73.92808,40.70623,0,4,12,212,4.605170185988092
0,-73.91107,40.77097,97,3,3,54,5.857933154483459
0,-73.97483,40.76024,365,1,0,126,7.6004023345004
0,-73.95291,40.71764,225,3,23,212,5.272999558563747
1,-73.94025,40.70727,0,2,1,212,4.31748811353631
1,-74.00027,40.7204,86,3,1,176,4.1588830833596715
0,-73.96043,40.72156,11,6,6,212,5.634789603169249
0,-73.96951,40.7867,5,2,0,200,5.10594547390058
0,-73.93648,40.6834,81,2,46,13,4.77912349311153
0,-73.98546,40.71724,0,1,0,118,4.442651256490317
1,-73.99267,40.75452,232,2,93,95,5.293304824724492
1,-73.95913,40.80864,0,4,0,129,4.174387269895637
1,-73.87751,40.73841,0,1,0,68,5.19295685089021
0,-73.95152,40.78047,5,1,3,199,4.700480365792417
0,-73.94639,40.81027,0,5,31,94,4.31748811353631
1,-73.82005,40.75806,341,1,24,77,4.442651256490317
0,-73.89382,40.74632,75,1,4,218,5.187385805840755
1,-73.98511,40.71542,18,2,267,118,4.553876891600541
0,-73.95195,40.68969,48,2,21,13,5.0106352940962555
0,-73.98304,40.72694,0,5,10,64,5.298317366548036
0,-73.93829,40.8019,52,14,0,61,4.605170185988092
1,-73.92686,40.86159,89,1,15,102,4.0943445622221
0,-73.86674,40.7303,157,5,6,162,4.8283137373023015
1,-73.91168,40.67965,15,1,15,13,4.007333185232471
0,-73.94819,40.64676,0,3,41,60,4.605170185988092
1,-73.99399,40.72259,0,1,0,144,4.430816798843313
1,-73.92934,40.76549,364,3,4,4,4.605170185988092
0,-73.99565,40.66423,0,5,6,188,4.77912349311153
0,-73.96789,40.6858,0,2,0,41,5.19295685089021
0,-73.97637,40.78561,116,3,57,200,5.700443573390687
0,-74.00177,40.7339,219,5,19,207,5.703782474656201
1,-73.94426,40.7258,0,4,0,91,4.787491742782046
0,-73.97185,40.6803,0,6,3,157,4.74493212836325
0,-73.94028,40.68529,301,2,9,13,4.867534450455582
1,-73.92472,40.69142,365,1,4,28,4.941642422609304
0,-73.94882,40.80595,116,3,42,94,5.872117789475416
1,-73.94691,40.71054,0,2,0,212,4.74493212836325
0,-73.98949,40.75892,281,30,7,95,4.890349128221754
1,-73.95335,40.58632,36,7,34,173,3.8066624897703196
1,-73.97062,40.6377,189,2,18,107,3.58351893845611
0,-73.99666,40.72133,115,1,6,144,5.703782474656201
1,-73.91229,40.70048,196,30,0,28,3.5263605246161616
1,-73.99248,40.76294,0,2,1,95,4.5217885770490405
2,-73.9408,40.81027,131,4,47,94,3.6635616461296463
0,-73.76992,40.71523,310,2,44,97,4.605170185988092
1,-73.94808,40.6715,331,21,15,51,3.8918202981106265
1,-73.95173,40.69521,83,2,0,13,4.143134726391533
1,-73.95651,40.70975,0,1,2,212,4.382026634673881
0,-73.98453,40.72457,0,2,62,64,5.220355825078324
0,-73.98445,40.69744,0,5,0,57,5.41610040220442
1,-73.88916,40.68106,321,3,23,52,4.174387269895637
0,-73.80081,40.59098,167,2,48,3,4.605170185988092
0,-74.00908,40.70399,281,90,0,73,5.723585101952381
0,-73.94919,40.77565,3,2,4,199,5.030437921392435
1,-73.94495,40.78813,22,4,37,61,4.454347296253507
0,-73.95206,40.77675,0,3,0,199,4.553876891600541
0,-73.9949,40.76168,193,2,52,95,5.298317366548036
0,-73.85601,40.67574,233,3,96,149,4.394449154672439
1,-73.96835,40.67554,150,1,156,157,4.442651256490317
1,-73.90268,40.87847,0,3,1,110,4.382026634673881
0,-73.96433,40.68715,0,3,4,41,4.31748811353631
0,-73.9659,40.7937,310,30,2,200,5.220355825078324
0,-73.99923,40.75997,0,1,18,95,5.537334267018537
1,-73.96639,40.80365,317,30,3,200,4.248495242049359
0,-73.99358,40.76316,20,2,6,95,5.298317366548036
0,-73.96066,40.64189,69,3,4,74,4.605170185988092
1,-73.95276,40.7252,0,13,0,91,4.605170185988092
1,-73.89859,40.70219,18,7,35,164,3.8066624897703196
1,-73.94721,40.64171,90,1,1,60,3.8918202981106265
1,-73.98408,40.76615,0,15,0,95,5.241747015059643
1,-73.93996,40.67521,365,7,0,51,4.248495242049359
0,-73.92071,40.68403,308,30,3,13,4.8283137373023015
1,-73.98026,40.75845,67,1,6,126,5.783825182329737
1,-73.98631,40.72009,0,2,1,118,3.912023005428146
1,-73.93824,40.67196,364,7,20,51,4.248495242049359
0,-73.97687,40.78331,188,2,1,200,5.703782474656201
0,-73.954,40.74651,0,1,0,116,5.1647859739235145
1,-73.93215,40.76079,0,1,5,116,4.174387269895637
1,-73.95347,40.80255,365,1,36,94,4.605170185988092
1,-73.79859,40.75932,365,1,2,77,4.248495242049359
1,-73.92175,40.73983,63,30,0,187,3.7376696182833684
1,-73.93582,40.67116,0,1,1,51,3.6888794541139363
0,-73.99337,40.7557,4,2,6,95,5.438079308923196
0,-74.00136,40.72855,188,2,26,92,5.298317366548036
0,-73.99839,40.64512,69,14,8,20,4.605170185988092
1,-73.98827,40.76503,0,2,6,95,4.624972813284271
1,-73.96058,40.69256,0,1,5,13,3.5553480614894135
1,-73.9439,40.6534,0,1,24,60,3.912023005428146
0,-74.00691,40.73666,0,2,3,207,5.003946305945459
0,-73.92485,40.76945,0,5,5,4,4.605170185988092
0,-73.93946,40.67964,321,7,63,13,4.605170185988092
0,-73.94763,40.82707,128,4,26,94,5.991464547107982
0,-73.95993,40.76368,293,30,0,199,5.7430031878094825
1,-73.9961,40.72177,51,10,13,144,4.553876891600541
0,-73.93445,40.75419,312,2,0,116,5.857933154483459
0,-73.97628,40.67281,0,2,24,150,5.135798437050262
0,-73.95384,40.7162,37,1,11,212,5.1647859739235145
1,-73.95221,40.67177,0,1,1,51,3.6888794541139363
0,-73.99267,40.74491,357,30,0,34,5.3230099791384085
0,-73.96299,40.72013,38,14,0,212,5.703782474656201
1,-73.93094,40.69585,0,7,0,28,4.248495242049359
1,-73.92701,40.84103,1,2,62,96,3.7376696182833684
1,-73.95934,40.69079,0,2,1,13,4.060443010546419
0,-73.97623,40.78263,7,2,6,200,5.19295685089021
1,-73.96034,40.80974,0,7,4,129,4.499809670330265
0,-73.94721,40.83039,319,1,5,94,5.0106352940962555
0,-73.97911,40.67681,0,2,9,150,5.135798437050262
0,-74.01225,40.70714,338,2,7,73,5.313205979041787
1,-73.95864,40.71187,0,1,0,212,5.0106352940962555
0,-73.86893,40.75196,32,2,14,103,5.560681631015528
0,-73.99017,40.71868,0,1,53,118,4.941642422609304
0,-74.01286,40.7091,0,1,3,73,5.41610040220442
0,-73.95289,40.77631,351,1,16,199,4.795790545596741
1,-73.92004,40.73919,233,30,2,187,3.6375861597263857
0,-73.98312,40.76501,364,30,0,126,5.272999558563747
1,-73.98867,40.76076,39,2,188,95,4.442651256490317
0,-73.96509,40.71703,190,31,11,212,4.8283137373023015
0,-73.85773,40.72988,262,3,33,162,4.477336814478207
0,-73.9524,40.77574,0,1,20,199,4.948759890378168
0,-73.96965,40.7995,0,4,2,200,4.867534450455582
1,-73.94496,40.82417,0,1,0,94,3.8918202981106265
0,-73.92782,40.75864,30,5,1,4,5.41610040220442
0,-73.92208,40.76197,0,1,1,4,5.0106352940962555
0,-73.99287,40.71832,29,1,15,118,5.298317366548036
0,-73.94154,40.71279,43,4,10,212,4.969813299576001
1,-73.95452,40.78269,30,2,0,199,4.442651256490317
0,-73.95248,40.81462,0,3,13,94,5.313205979041787
0,-73.79242,40.6748,62,1,5,104,4.442651256490317
0,-73.99762,40.74494,274,2,30,34,5.700443573390687
1,-73.99179,40.74717,105,1,158,34,4.653960350157523
0,-73.96338,40.71168,0,3,2,212,4.59511985013459
1,-73.9953,40.76553,304,2,62,95,5.298317366548036
0,-73.97004,40.78638,0,30,10,200,4.61512051684126
1,-73.99136,40.67828,189,2,35,85,4.382026634673881
1,-73.9761,40.68875,83,2,1,80,4.499809670330265
0,-73.99652,40.74895,321,14,3,34,5.940171252720432
1,-73.96802,40.79787,0,4,4,200,4.0943445622221
0,-73.96714,40.68404,15,6,17,41,4.976733742420574
0,-73.91225,40.68488,218,2,190,28,4.9344739331306915
0,-73.9777,40.76402,0,4,0,126,6.620073206530356
1,-73.94551,40.71162,0,1,0,212,4.8283137373023015
0,-73.98409,40.72219,0,4,1,64,5.652489180268651
1,-73.94811,40.70723,0,7,4,212,3.912023005428146
0,-73.94843,40.83136,0,4,4,94,4.605170185988092
0,-73.95789,40.71704,197,4,27,212,5.616771097666572
1,-73.86089,40.69102,89,2,11,215,4.499809670330265
1,-73.93034,40.65105,14,1,9,60,3.8501476017100584
1,-73.84726,40.8688,84,2,0,0,4.787491742782046
1,-73.89439,40.74287,0,28,3,218,3.4657359027997265
0,-73.95407,40.71973,0,3,14,91,4.90527477843843
0,-73.91687,40.77319,200,3,2,54,4.605170185988092
0,-73.98062,40.78629,0,7,0,200,5.857933154483459
0,-73.97901,40.72908,0,1,0,64,5.41610040220442
1,-74.07967,40.63489,280,2,25,192,4.23410650459726
1,-73.92263,40.65777,345,30,9,60,3.295836866004329
1,-73.99327,40.71947,0,1,2,118,5.0106352940962555
1,-73.96291,40.79832,180,2,1,200,4.976733742420574
0,-73.93304,40.69345,0,7,2,13,4.31748811353631
0,-73.99024,40.7523,0,5,7,126,5.3471075307174685
0,-73.9585,40.73242,72,3,64,91,5.521460917862246
0,-74.00803,40.71083,199,3,3,73,5.634789603169249
1,-73.99392,40.71904,364,1,109,118,4.553876891600541
0,-73.95405,40.77924,0,1,6,199,6.212606095751519
0,-73.91856,40.68274,0,3,15,13,4.574710978503383
1,-73.9405,40.7882,0,3,0,61,4.382026634673881
1,-73.94763,40.77155,110,25,2,199,5.0106352940962555
1,-73.99767,40.73884,0,1,1,34,5.0106352940962555
0,-73.99716,40.71883,0,2,119,114,5.393627546352362
1,-73.92429,40.68532,283,1,14,13,4.382026634673881
0,-73.98649,40.72698,0,3,2,64,5.0369526024136295
0,-73.99573,40.74312,0,5,5,34,5.003946305945459
1,-73.89124,40.67635,2,3,13,63,3.5553480614894135
0,-73.94584,40.6386,19,1,5,60,4.406719247264253
0,-73.97327,40.75303,0,2,9,126,5.135798437050262
0,-74.0037,40.65085,142,4,12,188,5.1647859739235145
1,-73.95018,40.69088,365,30,30,13,4.174387269895637
1,-73.99091,40.71473,0,4,7,35,4.127134385045092
1,-73.98349,40.71875,0,2,2,118,4.0943445622221
0,-73.97266,40.7838,352,2,47,200,5.541263545158426
0,-73.94972,40.77463,249,30,0,199,5.726847747587197
1,-74.00241,40.72409,276,3,107,176,5.293304824724492
1,-73.8706,40.68863,193,30,43,52,3.6375861597263857
0,-73.98363,40.76685,352,30,0,95,5.476463551931511
0,-73.89712,40.74746,253,3,51,218,4.787491742782046
1,-73.93967,40.7928,339,3,208,61,3.912023005428146
0,-73.9928,40.76328,343,60,28,95,4.584967478670572
1,-73.89098,40.76402,0,1,0,59,3.784189633918261
0,-73.98558,40.7195,270,1,1,118,5.298317366548036
1,-73.99563,40.75663,292,1,1,95,5.0689042022202315
0,-74.00338,40.73143,344,3,27,207,6.745236349484363
1,-74.00839,40.72494,0,30,19,176,4.605170185988092
0,-73.94467,40.81106,53,3,48,94,5.298317366548036
1,-73.95875,40.6627,365,5,8,158,4.31748811353631
0,-73.99599,40.67875,0,3,9,31,4.74493212836325
1,-73.93831,40.69568,0,1,0,13,4.23410650459726
1,-73.9914,40.74701,103,1,132,34,4.653960350157523
0,-73.80335,40.70477,330,1,3,104,3.784189633918261
1,-73.92059,40.86888,188,2,36,102,3.8066624897703196
0,-73.98141,40.72191,39,2,69,64,5.0106352940962555
0,-73.96126,40.69478,54,3,34,41,4.941642422609304
1,-73.9206,40.73575,282,1,12,187,4.48863636973214
1,-73.98497,40.72278,357,3,38,64,5.0106352940962555
1,-73.97646,40.76219,143,2,0,126,6.816735880594968
0,-74.00773,40.70611,45,1,3,73,5.3230099791384085
1,-74.10444,40.56662,307,1,56,141,3.6888794541139363
0,-73.96679,40.71248,0,20,0,212,5.298317366548036
1,-73.95916,40.80525,201,5,57,129,4.31748811353631
0,-73.95864,40.77698,0,15,2,199,5.0689042022202315
0,-73.98316,40.6604,23,10,3,214,5.0106352940962555
0,-73.98291,40.7767,280,30,0,200,6.144185634125646
1,-73.94055,40.79252,16,3,8,61,3.8918202981106265
0,-73.98286,40.74223,264,1,32,126,5.700443573390687
0,-73.93989,40.71402,0,3,0,212,5.19295685089021
1,-73.92514,40.70264,29,1,47,28,4.174387269895637
1,-73.94058,40.68732,0,2,41,13,4.007333185232471
0,-73.95598,40.66986,14,1,0,51,4.787491742782046
1,-73.96792,40.75413,305,2,198,126,4.605170185988092
0,-73.95872,40.71195,0,3,40,212,4.8283137373023015
1,-73.95235,40.68179,43,30,0,13,4.204692619390966
1,-73.94515,40.6958,0,1,0,13,4.007333185232471
0,-73.9875,40.76633,0,4,0,95,5.0106352940962555
0,-73.9516,40.76917,3,4,11,199,5.0106352940962555
1,-73.94341,40.81212,223,30,0,94,3.6109179126442243
0,-73.95041,40.77123,284,30,0,199,5.493061443340548
1,-73.93463,40.80249,14,1,46,61,3.9889840465642745
1,-73.98985,40.7699,0,1,1,95,4.787491742782046
1,-73.90988,40.8477,0,2,2,135,3.1780538303479458
1,-73.9467,40.70751,365,3,32,212,5.0106352940962555
0,-73.95834,40.71848,158,4,54,212,4.90527477843843
0,-73.94137,40.80002,0,3,10,61,4.795790545596741
1,-73.93107,40.85963,87,7,2,102,4.574710978503383
2,-73.99075,40.76623,337,1,18,95,4.442651256490317
1,-73.98535,40.67602,0,3,8,85,4.605170185988092
0,-73.96397,40.80608,0,10,2,129,5.241747015059643
0,-73.97906,40.758,0,30,0,126,5.521460917862246
0,-73.95831,40.73132,0,15,22,91,5.003946305945459
1,-73.9469,40.82943,65,2,13,94,3.912023005428146
0,-73.98747,40.77969,250,2,33,200,5.298317366548036
1,-73.95033,40.63956,123,3,10,60,4.31748811353631
1,-73.99104,40.72004,301,5,19,118,4.700480365792417
0,-73.84815,40.67651,155,1,32,149,4.0943445622221
0,-73.96282,40.71492,42,30,56,212,4.90527477843843
1,-73.94616,40.67055,0,2,0,51,4.174387269895637
0,-74.00854,40.7342,0,2,6,207,5.41610040220442
