room_type_num,longitude,latitude,availability_365,minimum_nights,number_of_reviews,neigh_num,price
0,-73.98323,40.77472,0,2,14,200,5.429345628954441
1,-73.94815,40.79635,88,3,15,61,4.382026634673881
1,-73.98801,40.75918,299,1,156,189,4.605170185988092
0,-73.97443,40.74469,0,4,0,136,4.8283137373023015
1,-73.99682,40.75272,0,1,19,34,4.584967478670572
1,-73.94642,40.79108,0,2,3,61,4.543294782270004
1,-73.95908,40.69199,0,1,1,13,4.276666119016055
0,-73.99527,40.74154,311,29,0,34,5.521460917862246
1,-73.96713,40.63676,0,10,1,74,3.4339872044851463
0,-73.98196,40.74431,124,5,36,126,5.857933154483459
0,-73.945,40.83088,188,47,5,94,4.343805421853684
1,-73.9429,40.79424,32,5,4,61,3.912023005428146
0,-73.85483,40.86868,87,2,73,0,4.653960350157523
1,-73.94616,40.71218,0,3,1,212,4.0943445622221
1,-73.94884,40.71867,0,2,1,212,5.003946305945459
0,-73.94178,40.70585,0,6,4,212,4.700480365792417
1,-73.98401,40.66714,347,3,14,180,4.31748811353631
1,-73.99086,40.75316,0,1,0,126,6.214608098422191
1,-73.76809,40.68687,365,1,12,183,4.204692619390966
0,-73.96892,40.75747,34,7,0,126,4.8283137373023015
1,-73.9087,40.69172,361,20,33,28,4.07753744390572
0,-73.98833,40.72747,0,5,2,64,4.0943445622221
0,-73.94657,40.71647,354,3,0,212,6.214608098422191
1,-73.95528,40.69319,312,2,9,13,3.8918202981106265
0,-73.98502,40.72259,0,3,1,64,5.293304824724492
0,-73.92258,40.68699,290,3,31,13,5.988961416889864
1,-73.91914,40.69358,0,15,1,28,3.5553480614894135
0,-74.01266,40.70883,0,7,6,73,5.700443573390687
0,-73.9583,40.71463,1,6,3,212,4.787491742782046
1,-73.94065,40.85117,24,1,22,204,3.912023005428146
1,-73.96166,40.80127,0,2,14,200,4.276666119016055
0,-73.98922,40.76383,147,2,28,95,5.634789603169249
1,-73.9534,40.80071,0,3,60,94,4.605170185988092
0,-73.76996,40.65795,68,1,15,181,5.1647859739235145
1,-73.95712,40.72536,120,2,131,91,4.394449154672439
1,-73.97538,40.68645,305,3,154,80,4.867534450455582
1,-73.9553,40.77297,306,10,0,199,4.804021044733257
1,-73.92756,40.73676,98,2,72,187,4.174387269895637
1,-73.95704,40.60633,334,3,60,173,4.5217885770490405
1,-73.96393,40.80439,38,4,37,129,4.867534450455582
1,-73.92863,40.68467,0,1,0,13,4.31748811353631
1,-73.92652,40.70433,0,3,6,28,4.007333185232471
0,-73.95534,40.67665,0,3,1,51,4.74493212836325
1,-73.95017,40.7883,0,1,22,61,4.605170185988092
0,-73.99743,40.68051,0,4,6,31,4.6913478822291435
0,-73.98885,40.73118,358,30,24,64,7.313220387090301
0,-73.94893,40.77426,0,5,0,199,4.382026634673881
1,-73.94083,40.68004,0,1,1,13,4.007333185232471
1,-73.94317,40.70649,0,6,0,212,3.5553480614894135
1,-73.91642,40.69319,13,3,49,28,4.007333185232471
1,-73.98884,40.72625,340,30,0,64,4.007333185232471
0,-73.97442,40.68798,36,7,4,80,4.976733742420574
0,-73.95695,40.78328,311,30,8,199,4.762173934797756
0,-73.92326,40.67523,74,7,77,51,4.382026634673881
1,-73.93369,40.69464,19,2,0,13,4.174387269895637
0,-73.97253,40.78802,38,2,0,200,5.521460917862246
0,-73.9888,40.72989,0,2,0,64,5.598421958998375
1,-73.94673,40.66261,0,4,0,158,4.605170185988092
1,-73.95115,40.7695,0,1,0,199,4.605170185988092
1,-73.9581,40.80485,364,30,0,94,4.477336814478207
0,-73.96293,40.68594,0,3,2,41,4.787491742782046
1,-73.90364,40.8739,365,1,31,110,4.23410650459726
1,-73.95172,40.82291,347,2,80,94,4.174387269895637
0,-73.95338,40.72532,272,2,6,91,5.438079308923196
0,-73.94573,40.69283,0,1,0,13,4.605170185988092
0,-73.91992,40.75975,20,2,4,4,3.912023005428146
0,-73.95106,40.8043,0,1,25,94,4.442651256490317
0,-73.84851,40.73933,0,2,2,50,4.605170185988092
0,-73.96031,40.76244,280,30,9,199,5.10594547390058
1,-73.95832,40.80576,2,3,49,129,4.442651256490317
0,-73.91855,40.76923,0,4,0,4,4.3694478524670215
0,-73.95811,40.7186,229,1,27,212,6.371611847231857
1,-73.96124,40.71285,333,20,2,212,3.295836866004329
1,-73.98577,40.77852,88,5,24,200,5.043425116919247
0,-73.8974,40.69821,50,3,63,164,4.0943445622221
1,-73.93305,40.7993,304,2,37,61,4.787491742782046
0,-73.91676,40.74523,0,14,5,187,4.553876891600541
1,-73.94714,40.70545,79,1,96,212,4.060443010546419
0,-73.98742,40.66238,152,2,9,180,5.187385805840755
1,-73.99435,40.72144,362,1,102,144,4.653960350157523
1,-73.97839,40.72117,7,6,10,64,4.382026634673881
0,-73.93825,40.68153,197,3,140,13,4.90527477843843
1,-73.9976,40.74752,8,3,21,34,5.41610040220442
0,-73.98994,40.7147,26,3,5,118,5.991464547107982
0,-74.00213,40.72646,173,2,1,176,5.521460917862246
1,-73.99437,40.75512,6,1,0,95,4.442651256490317
0,-73.9841,40.7201,34,3,44,118,5.1647859739235145
1,-73.98128,40.72822,0,3,0,64,4.499809670330265
0,-73.97718,40.65814,213,2,81,214,5.521460917862246
0,-73.97518,40.78981,137,30,27,200,4.6443908991413725
0,-73.98195,40.67757,5,4,12,150,5.298317366548036
1,-73.94156,40.83267,90,30,0,204,4.31748811353631
1,-73.98216,40.72481,0,3,4,64,4.8283137373023015
0,-73.95071,40.775,42,2,26,199,5.247024072160486
1,-73.9551,40.76723,259,2,77,199,4.709530201312334
0,-73.97406,40.67697,130,1,108,150,5.10594547390058
0,-73.9307,40.69684,210,1,36,28,4.442651256490317
1,-73.90969,40.67771,74,1,25,13,4.007333185232471
1,-73.94721,40.69097,364,2,9,13,4.61512051684126
1,-73.94439,40.8084,188,2,18,94,4.174387269895637
0,-73.92823,40.6805,0,2,10,13,4.700480365792417
1,-73.94272,40.80012,0,1,0,61,4.174387269895637
1,-73.9472,40.74705,179,5,0,116,4.867534450455582
0,-73.90961,40.69903,197,28,0,164,5.0106352940962555
1,-73.94976,40.70705,0,5,1,212,4.248495242049359
0,-73.99734,40.75658,0,3,7,95,5.0106352940962555
2,-73.95419,40.76731,0,1,115,199,3.5553480614894135
1,-73.94541,40.83089,0,1,0,94,3.58351893845611
0,-73.99875,40.74138,0,1,6,34,4.852030263919617
1,-73.98234,40.72363,0,1,1,64,4.382026634673881
1,-73.9642,40.64184,47,2,42,74,4.219507705176107
0,-73.90393,40.76636,0,1,0,4,4.31748811353631
0,-73.99518,40.72405,0,3,0,144,5.003946305945459
1,-73.7526,40.66648,340,1,28,181,4.174387269895637
0,-73.9658,40.70917,0,3,0,212,4.8283137373023015
0,-73.94653,40.77795,265,3,30,199,4.700480365792417
1,-73.9438,40.71855,0,2,0,212,4.499809670330265
0,-73.95829,40.77038,0,4,4,199,5.272999558563747
